year,state,count_type,count
01/01/2018 12:00:00 PM,AK,Overall Homeless,2016
01/01/2018 12:00:00 PM,AL,Overall Homeless,3434
01/01/2018 12:00:00 PM,AR,Overall Homeless,2712
01/01/2018 12:00:00 PM,AZ,Overall Homeless,9865
01/01/2018 12:00:00 PM,CA,Overall Homeless,129972
01/01/2018 12:00:00 PM,CO,Overall Homeless,10857
01/01/2018 12:00:00 PM,CT,Overall Homeless,3976
01/01/2018 12:00:00 PM,DC,Overall Homeless,6904
01/01/2018 12:00:00 PM,DE,Overall Homeless,1082
01/01/2018 12:00:00 PM,FL,Overall Homeless,31030
01/01/2018 12:00:00 PM,GA,Overall Homeless,9499
01/01/2018 12:00:00 PM,GU,Overall Homeless,854
01/01/2018 12:00:00 PM,HI,Overall Homeless,6530
01/01/2018 12:00:00 PM,IA,Overall Homeless,2749
01/01/2018 12:00:00 PM,ID,Overall Homeless,2012
01/01/2018 12:00:00 PM,IL,Overall Homeless,10643
01/01/2018 12:00:00 PM,IN,Overall Homeless,5258
01/01/2018 12:00:00 PM,KS,Overall Homeless,2216
01/01/2018 12:00:00 PM,KY,Overall Homeless,3688
01/01/2018 12:00:00 PM,LA,Overall Homeless,3059
01/01/2018 12:00:00 PM,MA,Overall Homeless,20068
01/01/2018 12:00:00 PM,MD,Overall Homeless,7144
01/01/2018 12:00:00 PM,ME,Overall Homeless,2516
01/01/2018 12:00:00 PM,MI,Overall Homeless,8351
01/01/2018 12:00:00 PM,MN,Overall Homeless,7243
01/01/2018 12:00:00 PM,MO,Overall Homeless,5883
01/01/2018 12:00:00 PM,MP,Overall Homeless,1044
01/01/2018 12:00:00 PM,MS,Overall Homeless,1352
01/01/2018 12:00:00 PM,MT,Overall Homeless,1405
01/01/2018 12:00:00 PM,NC,Overall Homeless,9268
01/01/2018 12:00:00 PM,ND,Overall Homeless,542
01/01/2018 12:00:00 PM,NE,Overall Homeless,2421
01/01/2018 12:00:00 PM,NH,Overall Homeless,1450
01/01/2018 12:00:00 PM,NJ,Overall Homeless,9398
01/01/2018 12:00:00 PM,NM,Overall Homeless,2551
01/01/2018 12:00:00 PM,NV,Overall Homeless,7544
01/01/2018 12:00:00 PM,NY,Overall Homeless,91897
01/01/2018 12:00:00 PM,OH,Overall Homeless,10249
01/01/2018 12:00:00 PM,OK,Overall Homeless,3871
01/01/2018 12:00:00 PM,OR,Overall Homeless,14476
01/01/2018 12:00:00 PM,PA,Overall Homeless,13512
01/01/2018 12:00:00 PM,PR,Overall Homeless,3182
01/01/2018 12:00:00 PM,RI,Overall Homeless,1101
01/01/2018 12:00:00 PM,SC,Overall Homeless,3933
01/01/2018 12:00:00 PM,SD,Overall Homeless,1159
01/01/2018 12:00:00 PM,TN,Overall Homeless,7883
01/01/2018 12:00:00 PM,TX,Overall Homeless,25310
01/01/2018 12:00:00 PM,UT,Overall Homeless,2876
01/01/2018 12:00:00 PM,VA,Overall Homeless,5975
01/01/2018 12:00:00 PM,VI,Overall Homeless,486
01/01/2018 12:00:00 PM,VT,Overall Homeless,1291
01/01/2018 12:00:00 PM,WA,Overall Homeless,22304
01/01/2018 12:00:00 PM,WI,Overall Homeless,4907
01/01/2018 12:00:00 PM,WV,Overall Homeless,1243
01/01/2018 12:00:00 PM,WY,Overall Homeless,639
01/01/2018 12:00:00 PM,Total,Overall Homeless,552830
01/01/2018 12:00:00 PM,AK,Sheltered ES Homeless,1248
01/01/2018 12:00:00 PM,AL,Sheltered ES Homeless,1519
01/01/2018 12:00:00 PM,AR,Sheltered ES Homeless,933
01/01/2018 12:00:00 PM,AZ,Sheltered ES Homeless,3615
01/01/2018 12:00:00 PM,CA,Sheltered ES Homeless,27475
01/01/2018 12:00:00 PM,CO,Sheltered ES Homeless,4158
01/01/2018 12:00:00 PM,CT,Sheltered ES Homeless,2879
01/01/2018 12:00:00 PM,DC,Sheltered ES Homeless,5095
01/01/2018 12:00:00 PM,DE,Sheltered ES Homeless,702
01/01/2018 12:00:00 PM,FL,Sheltered ES Homeless,12089
