Sno,Donor City,Donor State,Donor Zip,Donor Budget,Shelter 1
0,Evanston,Illinois,602,178.37,1
1,Appomattox,other,245,25,1
2,Winton,California,953,20,1
3,Indianapolis,Indiana,462,25,1
4,Paterson,New Jersey,75,25,1
6,Stamford,Connecticut,69,50,1
7,Green Bay,Wisconsin,543,50,1
8,Argyle,New York,128,200,1
9,Valparaiso,Indiana,463,10,1
10,Villanova,Pennsylvania,190,100,1
11,Brick,New Jersey,87,25,1
12,Wilmington,Delaware,198,50,1
13,Pasadena,Texas,775,25,1
14,Mohegan Lake,New York,105,20,1
15,Old Fort,North Carolina,287,100,1
16,Quincy,Illinois,623,25,1
18,Grand Rapids,Michigan,495,250,1
19,Lancaster,Pennsylvania,176,10,1
20,Fort Washington,Maryland,207,25,1
21,East Stroudsburg,New York,183,25,1
22,Ocala,Florida,344,50,1
23,Indianapolis,Indiana,462,25,1
24,,New Jersey,,10,1
25,Honolulu,Hawaii,968,75,1
26,Circle Pines,Minnesota,550,595.28,1
27,Brooklyn,New York,112,282.6,1
28,Laurens,South Carolina,293,54.3,1
29,Molalla,Oregon,970,182.38,1
30,Smithville,Mississippi,388,10,1
31,Lowell,Michigan,493,50,1
32,Louisville,Kentucky,402,100,1
238,,other,,1,1
239,Chicago,Illinois,606,1,1
240,Walnut Creek,California,945,1,1
241,,Virginia,201,1,1
242,Vancouver,Washington,986,1,1
243,Downey,California,902,1,1
244,Philadelphia,Pennsylvania,191,1,1
245,Norman,Oklahoma,730,1,1
246,Oak Lawn,Illinois,604,1,1
247,Philadelphia,Pennsylvania,191,1,1
248,Dixfield,Maine,42,1,1
249,Atlanta,Texas,303,1,1
250,Nashville,Tennessee,372,1,1
251,Knierim,Iowa,505,1,1
252,Sugar Land,Texas,774,1,1
253,Kuna,Idaho,836,24.82,1
254,Katy,Texas,774,1,1
255,Springfield,Illinois,627,1,1
256,,California,963,2,1
257,,Ohio,,1,1
258,Dewitt,Michigan,488,1,1
259,Dallas,Texas,752,1,1
260,Escanaba,Michigan,498,1,1
261,Seattle,other,981,1,1
262,Rock Island,Illinois,612,1,1
263,Edgewater,Maryland,210,1,1
264,,other,,1,1
265,Lexington,South Carolina,290,25,1
266,New Haven,Connecticut,65,10,1
267,Merritt Island,Florida,329,25,1
268,Deland,Florida,327,1142.58,1
269,Waldport,Oregon,973,20,1
270,Summerville,South Carolina,294,382.75,1
271,Oak Park,Illinois,603,20,1
272,Palm Coast,Florida,321,25,1
273,Chevy Chase,Maryland,208,25,1
274,Denver,Colorado,802,25,1
275,Fernandina Beach,Florida,320,34.27,1
276,Jerome,Idaho,833,99,1
277,Berkeley,California,947,50,1
278,Saint Paul,Minnesota,551,25,1
279,Seattle,Washington,981,25,1
280,Lynnwood,Washington,980,100,1
281,Cumberland,Maryland,215,229,1
282,,Virginia,,20,1
283,Albany,New York,122,50,1
284,Tampa,Florida,336,10,1
285,Winter Park,Florida,327,50,1
286,,other,,50,1
287,,other,,50,1
288,Lumberton,New Jersey,80,50,1
289,Sacramento,California,958,50,1
290,Cheyenne,Wyoming,820,50,1
291,Yarmouth,Maine,40,50,1
292,Brooklyn,New York,112,100,1
293,Lincoln,Rhode Island,28,25,1
294,Oakland,California,946,154.72,1
295,Lexington,South Carolina,290,50,1
296,Chicago,Illinois,606,96.35,1
297,Wagener,South Carolina,291,100,1
298,Avon,Indiana,461,25,1
299,East Hanover,New Jersey,79,10,1
300,Alexandria,Virginia,223,25.61,1
301,Utica,Michigan,483,80,1
302,Nashua,New Hampshire,30,25,1
303,Los Angeles,California,900,5,1
304,Atascadero,California,934,25,1
305,Morehead City,North Carolina,285,20,1
306,Chicago,Illinois,606,50,1
307,Lawrence,Kansas,660,100,1
308,Omaha,Nebraska,681,25,1
309,,other,,50,1
310,Snohomish,Washington,982,25,1
311,Williamsburg,West Virginia,249,25,1
312,Houston,Texas,770,25,1
313,Sacramento,California,958,106,1
314,Fishers,Ohio,460,100,1
315,,other,,25,1
316,Lordsburg,New Mexico,880,40.21,1
317,Bethesda,District of Columbia,208,300,1
318,Orland Park,Illinois,604,25,1
319,Salem,Indiana,471,20,1
320,Chicago,Illinois,606,25,1
321,Springfield,Virginia,221,1,1
322,Newark,California,945,50,1
323,Las Vegas,Nevada,891,1,1
324,Las Vegas,Nevada,891,1,1
325,,other,,2,1
326,Charlotte,North Carolina,282,1,1
327,Elm City,North Carolina,278,1,1
328,Columbus,Ohio,432,1,1
329,Norwalk,Connecticut,68,1,1
330,Muskegon,Michigan,494,1,1
331,,New York,,1,1
332,Cypress,Texas,774,10,1
333,,Iowa,,1,1
334,Fargo,North Dakota,581,29.4,1
335,Novato,California,949,1,1
336,Maize,Kansas,671,1,1
337,Winona,Minnesota,559,10,1
338,Houston,Texas,770,125,1
339,Murrieta,California,925,35.48,1
340,North Andover,Massachusetts,18,25,1
341,Terral,Oklahoma,735,40,1
342,Santa Clara,California,950,300,1
343,Missouri City,Texas,774,25,1
344,Ozark,Arkansas,729,6,1
345,Vacaville,California,956,200,1
346,Martinez,California,945,114.22,1
347,Memphis,Tennessee,381,25,1
348,Temecula,California,925,10,1
349,New York,New York,102,124.4,1
350,Cincinnati,Ohio,452,25,1
351,Janesville,Wisconsin,535,25,1
352,Ellicott City,Maryland,210,25,1
353,Las Vegas,Nevada,891,25,1
354,San Leandro,California,945,20,1
355,McKinney,Texas,750,175,1
356,Placentia,California,928,10,1
357,San Francisco,California,941,25,1
358,,other,,100,1
359,Bellingham,Washington,982,25,1
360,Claremore,Oklahoma,740,25,1
361,New York,New York,100,25,1
362,Dassel,Minnesota,553,20,1
363,Radnor,Ohio,430,25,1
364,Woodhaven,New York,114,50,1
365,,California,,172.46,1
366,Hoboken,New Jersey,70,100,1
367,Plymouth,Indiana,465,100,1
368,Dedham,Massachusetts,20,50,1
369,Lagrange,Georgia,302,15,1
370,Hollywood,Florida,330,91.92,1
371,Salt Lake City,Utah,841,300,1
372,Ava,Illinois,629,20,1
373,Los Angeles,California,900,25,1
374,,Michigan,,25,1
375,El Paso,Texas,799,291.18,1
376,Wethersfield,Connecticut,61,20,1
377,San Bruno,California,940,50,1
