DonorZip,DonorBudget,Shelter1
602,178.37,1
245,25,1
953,20,1
462,25,1
75,25,1
69,50,1
543,50,1
128,200,1
463,10,1
190,100,1
87,25,1
198,50,1
775,25,1
105,20,1
287,100,1
623,25,1
495,250,1
176,10,1
207,25,1
183,25,1
344,50,1
462,25,1
,10,1
968,75,1
550,595.28,1
112,282.6,1
293,54.3,1
970,182.38,1
388,10,1
493,50,1
402,100,1
,1,1
606,1,1
945,1,1
201,1,1
986,1,1
902,1,1
191,1,1
730,1,1
604,1,1
191,1,1
42,1,1
303,1,1
372,1,1
505,1,1
774,1,1
836,24.82,1
774,1,1
627,1,1
963,2,1
,1,1
488,1,1
752,1,1
498,1,1
981,1,1
612,1,1
210,1,1
,1,1
290,25,1
65,10,1
329,25,1
327,1142.58,1
973,20,1
294,382.75,1
603,20,1
321,25,1
208,25,1
802,25,1
320,34.27,1
833,99,1
947,50,1
551,25,1
981,25,1
980,100,1
215,229,1
,20,1
122,50,1
336,10,1
327,50,1
,50,1
,50,1
80,50,1
958,50,1
820,50,1
40,50,1
112,100,1
28,25,1
946,154.72,1
290,50,1
606,96.35,1
291,100,1
461,25,1
79,10,1
223,25.61,1
483,80,1
30,25,1
900,5,1
934,25,1
285,20,1
606,50,1
660,100,1
681,25,1
,50,1
982,25,1
249,25,1
770,25,1
958,106,1
460,100,1
,25,1
880,40.21,1
208,300,1
604,25,1
471,20,1
606,25,1
221,1,1
945,50,1
891,1,1
891,1,1
,2,1
282,1,1
278,1,1
432,1,1
68,1,1
494,1,1
,1,1
774,10,1
,1,1
581,29.4,1
949,1,1
671,1,1
559,10,1
770,125,1
925,35.48,1
18,25,1
735,40,1
950,300,1
774,25,1
729,6,1
956,200,1
945,114.22,1
381,25,1
925,10,1
102,124.4,1
452,25,1
535,25,1
210,25,1
891,25,1
945,20,1
750,175,1
928,10,1
941,25,1
,100,1
982,25,1
740,25,1
100,25,1
553,20,1
430,25,1
114,50,1
,172.46,1
70,100,1
465,100,1
20,50,1
302,15,1
330,91.92,1
841,300,1
629,20,1
900,25,1
,25,1
799,291.18,1
61,20,1
940,50,1
64,10,1
484,100,1
703,15,1
890,100,1
381,100,1
768,150,1
333,138.04,1
928,30,1
490,100,1
530,83.54,1
110,20,1
322,50,1
113,25,1
281,100,1
20,25,1
902,20,1
488,10,1
740,50,1
917,20,1
276,20,1
156,10,1
968,200,1
601,15,1
288,25,1
933,20,1
700,50,1
928,25,1
850,183.88,1
741,20,1
333,20,1
550,20,1
,50,1
230,25,1
112,20,1
786,50,1
741,20,1
498,64.06,1
194,35,1
282,300,1
782,50,1
115,25,1
,89.45,1
902,10,1
600,219.78,1
980,25,1
,25,1
294,20,1
481,1125.99,1
554,500,1
800,25,1
786,50,1
145,50,1
347,25,1
775,10,1
787,4.17,1
104,50,1
532,25,1
15,5,1
972,99,1
,10,1
112,1.14,1
875,25,1
891,25,1
656,20,1
208,10,1
24,20,1
900,15,1
79,25,1
750,5,1
117,7.5,1
282,55,1
,25,1
770,10,1
955,3,1
906,50,1
334,50,1
191,50,1
850,10,1
940,100,1
744,15,1
146,50,1
945,47.62,1
233,25,1
453,20,1
400,100,1
211,20,1
112,100.2,1
615,50,1
314,50,1
222,337.6,1
895,25,1
,50,1
54,50,1
334,100,1
973,86.61,1
761,100,1
591,10,1
959,25,1
320,10,1
841,50,1
100,10,1
606,10,1
945,100,1
,58.65,1
600,100,1
27,66.36,1
302,25,1
853,4,1
60,10,1
917,10,1
100,25,1
789,25,1
600,10,1
473,15,1
112,25,1
,25,1
292,75,1
760,25,1
760,10,1
60,50,1
23,50,1
617,25,1
762,100,1
972,25,1
773,10,1
472,11.26,1
572,10,1
852,10,1
362,10,1
432,5,1
712,25,1
111,10,1
981,10,1
786,1.6,1
606,10,1
,10,1
227,100,1
298,25,1
852,10,1
488,10,1
809,7.15,1
840,25,1
,10,1
907,25,1
461,50,1
980,100,1
73,10,1
925,25,1
275,50,1
786,171.65,1
198,50,1
468,100,1
453,20,1
372,50,1
928,15,1
294,59.97,1
840,29.99,1
972,25,1
23,100,1
100,50,1
284,33.76,1
70,20,1
764,40,1
276,1,1
,5,1
165,1595.29,1
240,75,1
944,58.99,1
559,100,1
278,50,1
945,50,1
926,100,1
950,25,1
233,5,1
,38,1
970,1,1
,40.58,1
113,50,1
,1,1
840,50,1
740,50,1
,10,1
334,25.74,1
863,12.17,1
292,15,1
949,10,1
,1,1
111,3,1
752,1,1
945,1,1
228,1,1
315,1,1
452,1,1
920,50,1
765,1,1
403,1,1
220,1,1
280,16,1
107,1,1
983,2,1
600,1,1
916,3,1
840,1,1
,4,1
633,1,1
606,2,1
947,1,1
770,1,1
329,1,1
440,22.72,1
20,5,1
773,9,1
,1,1
535,2,1
840,5,1
303,2,1
530,2,1
104,1,1
275,1,1
,1,1
910,1,1
303,1,1
74,1,1
381,1,1
424,10,1
917,5,1
847,4,1
980,2,1
662,2,1
71,1,1
751,2,1
606,1,1
,1,1
774,1,1
437,5,1
30,1,1
631,5,1
611,5,1
277,2,1
480,2,1
24,5,1
620,1,1
936,2,1
612,2,1
216,1,1
322,1,1
197,1,1
925,15,1
144,2,1
209,1,1
551,48,1
,1,1
928,1,1
113,1,1
365,5,1
77,2,1
346,1,1
279,10,1
641,1,1
805,1,1
607,1,1
372,1,1
432,1,1
743,1,1
359,1,1
442,1,1
86,1,1
741,1,1
980,2,1
150,1,1
80,1,1
479,1,1
432,1,1
460,5,1
471,1,1
112,1,1
81,3,1
945,4,1
63,3,1
286,1,1
751,1,1
933,1,1
550,29,1
857,4,1
210,1,0
140,5,0
921,5,0
607,1,0
857,1,0
89,1,0
,1,0
563,1,0
837,1,0
710,1,0
925,2,0
528,1,0
954,1,0
393,2,0
488,1,0
945,1,0
334,1,0
276,25,0
,200,0
976,10,0
305,5,0
921,200,0
945,25,0
980,89.59,0
144,46.46,0
212,473,0
30,435.92,0
832,25,0
968,10,0
860,2670.59,0
191,25,0
17,99,0
297,10,0
773,50,0
945,25,0
920,25,0
995,50,0
956,10,0
641,100,0
,100,0
662,50,0
,25,0
294,250,0
506,25,0
700,50,0
707,66.29,0
551,25,0
932,25,0
207,88.79,0
331,25,0
840,424.97,0
69,175,0
752,25,0
385,50,0
21,10,0
76,5,0
125,10,0
300,15,0
970,10,0
773,200,0
111,25,0
925,25,0
437,5,0
601,25,0
295,5,0
357,25,0
,20,0
474,50,0
10,20,0
480,20,0
,23.7,0
24,25,0
977,5,0
200,100,0
60,50,0
112,10,0
532,10,0
905,100,0
339,20,0
334,50,0
907,50,0
300,25,0
338,5,0
852,25,0
328,124.26,0
932,10,0
852,10,0
957,50,0
946,75,0
891,100,0
951,50,0
951,10,0
460,5,0
21,1,0
758,10,0
751,10,0
707,25,0
605,5,0
900,10,0
452,104.24,0
770,100,0
18,85.16,0
773,100,0
913,26,0
112,50,0
480,10,0
774,42.89,0
554,25,0
334,1,0
300,50,0
117,10,0
105,50,0
808,10,0
111,10,0
920,10,0
117,2,0
752,20,0
222,15.87,0
750,1,0
475,293,0
718,5,0
194,5,0
604,1,0
,10,0
224,15,0
100,1,0
928,10,0
113,1.44,0
894,1,0
913,10,0
912,1.5,0
,1,0
294,25,0
852,5,0
379,1,0
752,1,0
374,1,0
,1,0
111,1,0
680,1,0
945,2,0
,42.78,0
945,25,0
606,50,0
,50,0
922,25,0
201,50,0
26,65.76,0
219,25,0
750,50,0
900,25,0
787,40.01,0
531,50,0
710,25,0
773,50,0
461,50,0
441,25,0
778,25,0
191,10,0
,20,0
329,944.33,0
,25,0
662,20,0
152,136.55,0
352,25,0
945,50,0
900,15,0
773,10,0
173,99,0
18,125,0
463,170,0
705,20,0
841,25,0
23,15,0
191,50,0
481,20,0
553,50,0
87,150,0
481,50,0
630,50,0
852,22.72,0
940,50,0
,5,0
750,1,0
466,5,0
371,5,0
226,8.54,0
745,20,0
330,5,0
315,10,0
103,10,0
553,125,0
70,10,0
983,32.47,0
485,20,0
,25,0
606,100,0
707,50,0
681,93.2,0
117,25,0
453,50,0
,135,0
131,50,0
370,50,0
815,50,0
,25,0
480,25,0
900,20,0
939,25,0
350,20,0
65,10,0
394,39.78,0
351,99,0
928,1,0
