,0
0," Broadway House Womens Shelter", "Brooklyn, NY 112210.96 miles from city center New York City",  (718) 453-4870, "Women's Shelter 65 bed shelter for women that provides temporary emergency housing in a safe and supportive environment.Provides meals,  security 24 hours a day,  and on-site comprehensive services including case management, housing assistance, creative art therapy, medical and    "
1," Providence House",  "Brooklyn, NY 112211.24 miles from city center New York City",  (718)455-0197,"Providence House focuses its programs and services on two at-risk and underserved populations: women and children who are homeless and women recently paroled from prison. Providence House provides women and children in crisis with shelter, food and security as well as support services to help them t    "
2," Providence House For Pregnant Women And Children",  "Brooklyn, NY 112211.25 miles from city center New York City",  (718) 455-0197,"A faith-based, woman-focused agency headquartered in the Bedford-Stuyvesant community of Brooklyn, Providence House is built around the use of a unique mentoring model at smaller, congregate transitional housing facilities scattered throughout New York City.That model has been fashioned upon t    "
3," Barbara Kleiman Shelter",  "Brooklyn, NY 112111.38 miles from city center New York City",  (718) 963-3800,"Adult Shelter and clinic. Capacity: 200 beds. Operated by the Department of Homeless Services (DHS) NYC.    "
4," Ready Willing and Able",  "Brooklyn, NY 112161.88 miles from city center New York City",  718-628-3223, "Ready, Willing & Able provides a working way home for homeless men with long histories of incarceration, addiction, and unemployment.At the core of this 12 month residential program is paid work - complemented by holistic social services, caree    "
5," Magnolia House - Women's Shelter",  "Brooklyn, NY 112331.97 miles from city center New York City",  (718) 675-3353, "Magnolia House Womens Shelter in Brownsville, Brooklyn, is a 200-bed shelter that provides temporary emergency housing in a safe, supportive and drug-free facility for single women who are dually diagnosed with mental illness and substance abuse.Meals, 24/7 security and on-site compreh?    "
6," Atlantic House Men's Shelter",  "Brooklyn, NY 112332.07 miles from city center New York City", "Atlantic House Mens Shelter in Brownsville, Brooklyn, is a 200-bed shelter that provides temporary emergency housing in a safe, supportive and drug-free facility for single men who are dually diagnosed with mental illness and substance abuse. Programs are designed to enable men to improve their abi    "
7," The Gathering Place Drop In Center",  "Brooklyn, NY 112332.07 miles from city center New York City",  (718) 385-8726, "The Gathering Place Drop-in Center serves homeless men and women, 18 and older, 24 hours per day, seven days a week, year round. The center provides a safe, sanitary and stable alternative to the street, using an individualized and flexible approach to serve the hard-to-reach street homeless populat    "
8," Van Siclen Women's Shelter (Samartan Village)",  "Brooklyn , NY 112072.13 miles from city center New York City",  (718) 235-1464 "Transitional housing for women with children. Homeless families with children.Overcoming-Love Ministries, Inc. (OCLM) is a 501(c)(3), faith-based organization which has served the communities of Brooklyn and Queens for over 30 years. We are an inter-denominational, multicultural, bilingu    "
9," HELP Women's Shelter New York City",  "Brooklyn, NY 2.66 miles from city center New York City", " ", "Intake is open: 24 hours a day. Adult Women's ShelterTake Subway: C to Liberty Ave.  This is a NYC Department of Homeless Services intake shelter for women.   The intake facilities for single adults are open 24 hours, seven days a w    "
10," Auburn Family Residence Fort Greene",  "Brooklyn, NY 112053.15 miles from city center New York City",  (718) 222-1300, "Auburn Family Residence at 39 Auburn Place. Shelter in NYC. There have been numerous complaints against this shelter.     "
11," Opportunity House Men's Shelter",  "Brooklyn, NY 112013.42 miles from city center New York City",  (718) 797-0285??, "Opportunity House Mens Shelter in Downtown Brooklyn is a 62-bed shelter that provides temporary emergency housing in a safe, supportive, and drug-free facility for single men. Meals, 24/7 security and on-site comprehensive services including case management, housing assistance, creative arts therap    "
12," Tillary Street Women's Shelter",  "Brooklyn, NY 112013.43 miles from city center New York City",  (888) 425-0501,"The Tillary Street Women's Shelter is a 200-bed city-funded shelter for women with mental illness and co-morbid substance abuse disorders. Located in downtown Brooklyn. The shelter provides temporary housing, case management, housing referral and (more) placement services, and on-site medical and me    "
13," Pams Place Shelter",  "Long Island City, NY 111013.43 miles from city center New York City", "", "Shelter for single women. Six story, 200 bed shelter    "
14," OToole Center for Family Services & Outreach",  "New Yok, NY 100093.68 miles from city center New York City",  (212) 777-1010,"Emergency Shelter, Supportive Housing Provider and Homelessness Prevention Non-Profit in New York City.If you are currently homeless, contact the Department of Homeless Services by dialing 311 or (718) 503-6400Nazareth Housing cannot accept families directly. Y    "
